Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity
"0402WGF1003TCE","R - RESISTOR - SMD - 100k - 1% -  0402","MT_R_ECON_C, MT_R_ECON_D, MT_R_SWEN_C, MT_R_SWEN_D, R_1A_c, R_1B_c","R_0402","C25741","0402WGF1003TCE","6"
"0603WAF100KT5E","R - RESISTOR - SMD - 1R - 1% -  0603","MT_R_FBIN_A, MT_R_GVCC, MT_R_SHDN_A, Rbg1a, Rbg2a, Rtg1a, Rtg2a","R_0603","C22936","0603WAF100KT5E","7"
"0603WAF3301T5E","R - RESISTOR - SMD - 3.3k - 1% - 0603","MT_R_FBIN_B","R_0603","C22978","0603WAF3301T5E","1"
"0402WGF1502TCE","R - RESISTOR - SMD - 15k - 1% - 0402","MT_R_FBIN_C","R_0402","C25756","0402WGF1502TCE","1"
"0402WGF1501TCE","R - RESISTOR - SMD - 1.5k - 1% - 0402","MT_R_FBIW_A","R_0402","C25867","0402WGF1501TCE","1"
"0603WAF1004T5E","R - RESISTOR - SMD - 1M - 1% - 0603","MT_R_FBOUT_AA, MT_R_FBOUT_AB","R_0603","C22935","0603WAF1004T5E","2"
"0402WGF3302TCE","R - RESISTOR - SMD - 33k - 1% - 0402","MT_R_FBOUT_C, MT_R_SHDN_B","R_0402","C25779","0402WGF3302TCE","2"
"0402WGF2202TCE","R - RESISTOR - SMD - 22k - 1% - 0402","MT_R_IMON_IN, MT_R_VINR_C","R_0402","C25768","0402WGF2202TCE","2"
"0402WGF5602TCE","R - RESISTOR - SMD - 56k - 1% - 0402","MT_R_IMON_OUT","R_0402","C25796","0402WGF5602TCE","1"
"0402WGF3301TCE","R - RESISTOR - SMD - 3.3k - 1% - 0402","MT_R_IOR","R_0402","C25890","0402WGF3301TCE","1"
